数据集总长度：1115394
Before CTE Training: train eu loss: 1.1262810230255127, eval eu loss: 1.461101770401001
Before CTE Training: train eu acc: 0.64453125, eval eu acc: 0.56787109375
epoch   0 summary: train_cos_loss : 0.025683, train_cro_loss : 4.1264, train_tot_loss : 0.0258, valid_cos_loss : 0.0258, valid_cro_loss : 0.0000, valid_tot_loss : 0.0258, 
epoch  39 summary: train_cos_loss : 0.018869, train_cro_loss : 2.6785, train_tot_loss : 0.0190, valid_cos_loss : 0.0186, valid_cro_loss : 0.0000, valid_tot_loss : 0.0186, 
epoch  40 summary: train_cos_loss : 0.018330, train_cro_loss : 2.6631, train_tot_loss : 0.0184, valid_cos_loss : 0.0172, valid_cro_loss : 0.0000, valid_tot_loss : 0.0172, 
train loss: 2.9851, accuracy: 0.3999, valid loss: 2.9452, accuracy: 0.2690, 
epoch  41 summary: train_cos_loss : 0.018086, train_cro_loss : 2.6383, train_tot_loss : 0.0182, valid_cos_loss : 0.0176, valid_cro_loss : 0.0000, valid_tot_loss : 0.0176, 
epoch  42 summary: train_cos_loss : 0.017550, train_cro_loss : 2.6322, train_tot_loss : 0.0176, valid_cos_loss : 0.0180, valid_cro_loss : 0.0000, valid_tot_loss : 0.0180, 
epoch  43 summary: train_cos_loss : 0.017558, train_cro_loss : 2.6369, train_tot_loss : 0.0176, valid_cos_loss : 0.0177, valid_cro_loss : 0.0000, valid_tot_loss : 0.0177, 
epoch  44 summary: train_cos_loss : 0.017068, train_cro_loss : 2.6128, train_tot_loss : 0.0172, valid_cos_loss : 0.0163, valid_cro_loss : 0.0000, valid_tot_loss : 0.0163, 
epoch  45 summary: train_cos_loss : 0.017575, train_cro_loss : 2.6003, train_tot_loss : 0.0177, valid_cos_loss : 0.0153, valid_cro_loss : 0.0000, valid_tot_loss : 0.0153, 
epoch  46 summary: train_cos_loss : 0.016833, train_cro_loss : 2.5993, train_tot_loss : 0.0169, valid_cos_loss : 0.0162, valid_cro_loss : 0.0000, valid_tot_loss : 0.0162, 
epoch  47 summary: train_cos_loss : 0.016829, train_cro_loss : 2.5912, train_tot_loss : 0.0169, valid_cos_loss : 0.0168, valid_cro_loss : 0.0000, valid_tot_loss : 0.0168, 
epoch  48 summary: train_cos_loss : 0.016819, train_cro_loss : 2.5822, train_tot_loss : 0.0169, valid_cos_loss : 0.0161, valid_cro_loss : 0.0000, valid_tot_loss : 0.0161, 
epoch  49 summary: train_cos_loss : 0.015523, train_cro_loss : 2.5673, train_tot_loss : 0.0156, valid_cos_loss : 0.0155, valid_cro_loss : 0.0000, valid_tot_loss : 0.0155, 
epoch  50 summary: train_cos_loss : 0.016305, train_cro_loss : 2.5582, train_tot_loss : 0.0164, valid_cos_loss : 0.0153, valid_cro_loss : 0.0000, valid_tot_loss : 0.0153, 
train loss: 2.8952, accuracy: 0.3610, valid loss: 2.8606, accuracy: 0.2632, 
epoch  51 summary: train_cos_loss : 0.015966, train_cro_loss : 2.5478, train_tot_loss : 0.0161, valid_cos_loss : 0.0152, valid_cro_loss : 0.0000, valid_tot_loss : 0.0152, 
epoch  52 summary: train_cos_loss : 0.015077, train_cro_loss : 2.5235, train_tot_loss : 0.0152, valid_cos_loss : 0.0150, valid_cro_loss : 0.0000, valid_tot_loss : 0.0150, 
epoch  53 summary: train_cos_loss : 0.016165, train_cro_loss : 2.5316, train_tot_loss : 0.0163, valid_cos_loss : 0.0144, valid_cro_loss : 0.0000, valid_tot_loss : 0.0144, 
epoch  54 summary: train_cos_loss : 0.014267, train_cro_loss : 2.5271, train_tot_loss : 0.0144, valid_cos_loss : 0.0145, valid_cro_loss : 0.0000, valid_tot_loss : 0.0145, 
epoch  55 summary: train_cos_loss : 0.015032, train_cro_loss : 2.5048, train_tot_loss : 0.0151, valid_cos_loss : 0.0155, valid_cro_loss : 0.0000, valid_tot_loss : 0.0155, 
epoch  56 summary: train_cos_loss : 0.014099, train_cro_loss : 2.4860, train_tot_loss : 0.0142, valid_cos_loss : 0.0152, valid_cro_loss : 0.0000, valid_tot_loss : 0.0152, 
epoch  57 summary: train_cos_loss : 0.013564, train_cro_loss : 2.4763, train_tot_loss : 0.0137, valid_cos_loss : 0.0140, valid_cro_loss : 0.0000, valid_tot_loss : 0.0140, 
epoch  58 summary: train_cos_loss : 0.014422, train_cro_loss : 2.4785, train_tot_loss : 0.0145, valid_cos_loss : 0.0133, valid_cro_loss : 0.0000, valid_tot_loss : 0.0133, 
epoch  59 summary: train_cos_loss : 0.013277, train_cro_loss : 2.4823, train_tot_loss : 0.0134, valid_cos_loss : 0.0133, valid_cro_loss : 0.0000, valid_tot_loss : 0.0133, 
epoch  60 summary: train_cos_loss : 0.013509, train_cro_loss : 2.4696, train_tot_loss : 0.0136, valid_cos_loss : 0.0141, valid_cro_loss : 0.0000, valid_tot_loss : 0.0141, 
train loss: 2.8141, accuracy: 0.3691, valid loss: 2.7729, accuracy: 0.2612, 
epoch  61 summary: train_cos_loss : 0.013869, train_cro_loss : 2.4659, train_tot_loss : 0.0140, valid_cos_loss : 0.0123, valid_cro_loss : 0.0000, valid_tot_loss : 0.0123, 
epoch  62 summary: train_cos_loss : 0.013343, train_cro_loss : 2.4713, train_tot_loss : 0.0134, valid_cos_loss : 0.0133, valid_cro_loss : 0.0000, valid_tot_loss : 0.0133, 
epoch  63 summary: train_cos_loss : 0.013482, train_cro_loss : 2.4487, train_tot_loss : 0.0136, valid_cos_loss : 0.0125, valid_cro_loss : 0.0000, valid_tot_loss : 0.0125, 
epoch  64 summary: train_cos_loss : 0.012926, train_cro_loss : 2.4839, train_tot_loss : 0.0130, valid_cos_loss : 0.0128, valid_cro_loss : 0.0000, valid_tot_loss : 0.0128, 
epoch  65 summary: train_cos_loss : 0.012381, train_cro_loss : 2.5085, train_tot_loss : 0.0125, valid_cos_loss : 0.0126, valid_cro_loss : 0.0000, valid_tot_loss : 0.0126, 
epoch  66 summary: train_cos_loss : 0.012491, train_cro_loss : 2.5073, train_tot_loss : 0.0126, valid_cos_loss : 0.0123, valid_cro_loss : 0.0000, valid_tot_loss : 0.0123, 
epoch  67 summary: train_cos_loss : 0.012398, train_cro_loss : 2.5098, train_tot_loss : 0.0125, valid_cos_loss : 0.0119, valid_cro_loss : 0.0000, valid_tot_loss : 0.0119, 
epoch  68 summary: train_cos_loss : 0.011774, train_cro_loss : 2.5051, train_tot_loss : 0.0119, valid_cos_loss : 0.0122, valid_cro_loss : 0.0000, valid_tot_loss : 0.0122, 
epoch  69 summary: train_cos_loss : 0.011875, train_cro_loss : 2.4915, train_tot_loss : 0.0120, valid_cos_loss : 0.0121, valid_cro_loss : 0.0000, valid_tot_loss : 0.0121, 
epoch  70 summary: train_cos_loss : 0.011772, train_cro_loss : 2.4734, train_tot_loss : 0.0119, valid_cos_loss : 0.0114, valid_cro_loss : 0.0000, valid_tot_loss : 0.0114, 
train loss: 2.7983, accuracy: 0.3590, valid loss: 2.7589, accuracy: 0.2456, 
epoch  71 summary: train_cos_loss : 0.011748, train_cro_loss : 2.4493, train_tot_loss : 0.0118, valid_cos_loss : 0.0126, valid_cro_loss : 0.0000, valid_tot_loss : 0.0126, 
epoch  72 summary: train_cos_loss : 0.011819, train_cro_loss : 2.4352, train_tot_loss : 0.0119, valid_cos_loss : 0.0119, valid_cro_loss : 0.0000, valid_tot_loss : 0.0119, 
epoch  73 summary: train_cos_loss : 0.011722, train_cro_loss : 2.4131, train_tot_loss : 0.0118, valid_cos_loss : 0.0115, valid_cro_loss : 0.0000, valid_tot_loss : 0.0115, 
epoch  74 summary: train_cos_loss : 0.011238, train_cro_loss : 2.3970, train_tot_loss : 0.0113, valid_cos_loss : 0.0110, valid_cro_loss : 0.0000, valid_tot_loss : 0.0110, 
epoch  75 summary: train_cos_loss : 0.011225, train_cro_loss : 2.3997, train_tot_loss : 0.0113, valid_cos_loss : 0.0112, valid_cro_loss : 0.0000, valid_tot_loss : 0.0112, 
epoch  76 summary: train_cos_loss : 0.010702, train_cro_loss : 2.4062, train_tot_loss : 0.0108, valid_cos_loss : 0.0106, valid_cro_loss : 0.0000, valid_tot_loss : 0.0106, 
epoch  77 summary: train_cos_loss : 0.010692, train_cro_loss : 2.3944, train_tot_loss : 0.0108, valid_cos_loss : 0.0108, valid_cro_loss : 0.0000, valid_tot_loss : 0.0108, 
epoch  78 summary: train_cos_loss : 0.011062, train_cro_loss : 2.3926, train_tot_loss : 0.0111, valid_cos_loss : 0.0101, valid_cro_loss : 0.0000, valid_tot_loss : 0.0101, 
epoch  79 summary: train_cos_loss : 0.010333, train_cro_loss : 2.3977, train_tot_loss : 0.0104, valid_cos_loss : 0.0108, valid_cro_loss : 0.0000, valid_tot_loss : 0.0108, 
epoch  80 summary: train_cos_loss : 0.010557, train_cro_loss : 2.3835, train_tot_loss : 0.0106, valid_cos_loss : 0.0104, valid_cro_loss : 0.0000, valid_tot_loss : 0.0104, 
train loss: 2.7266, accuracy: 0.3681, valid loss: 2.7024, accuracy: 0.2534, 
epoch  81 summary: train_cos_loss : 0.009686, train_cro_loss : 2.3771, train_tot_loss : 0.0098, valid_cos_loss : 0.0103, valid_cro_loss : 0.0000, valid_tot_loss : 0.0103, 
epoch  82 summary: train_cos_loss : 0.010247, train_cro_loss : 2.3613, train_tot_loss : 0.0103, valid_cos_loss : 0.0107, valid_cro_loss : 0.0000, valid_tot_loss : 0.0107, 
epoch  83 summary: train_cos_loss : 0.009671, train_cro_loss : 2.3482, train_tot_loss : 0.0098, valid_cos_loss : 0.0101, valid_cro_loss : 0.0000, valid_tot_loss : 0.0101, 
epoch  84 summary: train_cos_loss : 0.010185, train_cro_loss : 2.3385, train_tot_loss : 0.0103, valid_cos_loss : 0.0094, valid_cro_loss : 0.0000, valid_tot_loss : 0.0094, 
epoch  85 summary: train_cos_loss : 0.009572, train_cro_loss : 2.3319, train_tot_loss : 0.0097, valid_cos_loss : 0.0096, valid_cro_loss : 0.0000, valid_tot_loss : 0.0096, 
epoch  86 summary: train_cos_loss : 0.009889, train_cro_loss : 2.3128, train_tot_loss : 0.0100, valid_cos_loss : 0.0086, valid_cro_loss : 0.0000, valid_tot_loss : 0.0086, 
epoch  87 summary: train_cos_loss : 0.009313, train_cro_loss : 2.3115, train_tot_loss : 0.0094, valid_cos_loss : 0.0098, valid_cro_loss : 0.0000, valid_tot_loss : 0.0098, 
epoch  88 summary: train_cos_loss : 0.009471, train_cro_loss : 2.3014, train_tot_loss : 0.0096, valid_cos_loss : 0.0087, valid_cro_loss : 0.0000, valid_tot_loss : 0.0087, 
epoch  89 summary: train_cos_loss : 0.009181, train_cro_loss : 2.2925, train_tot_loss : 0.0093, valid_cos_loss : 0.0095, valid_cro_loss : 0.0000, valid_tot_loss : 0.0095, 
epoch  90 summary: train_cos_loss : 0.009349, train_cro_loss : 2.2678, train_tot_loss : 0.0094, valid_cos_loss : 0.0098, valid_cro_loss : 0.0000, valid_tot_loss : 0.0098, 
train loss: 2.6130, accuracy: 0.4056, valid loss: 2.6060, accuracy: 0.2930, 
epoch  91 summary: train_cos_loss : 0.009048, train_cro_loss : 2.2642, train_tot_loss : 0.0091, valid_cos_loss : 0.0088, valid_cro_loss : 0.0000, valid_tot_loss : 0.0088, 
epoch  92 summary: train_cos_loss : 0.009072, train_cro_loss : 2.2621, train_tot_loss : 0.0092, valid_cos_loss : 0.0087, valid_cro_loss : 0.0000, valid_tot_loss : 0.0087, 
epoch  93 summary: train_cos_loss : 0.009219, train_cro_loss : 2.2581, train_tot_loss : 0.0093, valid_cos_loss : 0.0088, valid_cro_loss : 0.0000, valid_tot_loss : 0.0088, 
epoch  94 summary: train_cos_loss : 0.008714, train_cro_loss : 2.2459, train_tot_loss : 0.0088, valid_cos_loss : 0.0089, valid_cro_loss : 0.0000, valid_tot_loss : 0.0089, 
epoch  95 summary: train_cos_loss : 0.008576, train_cro_loss : 2.2737, train_tot_loss : 0.0087, valid_cos_loss : 0.0081, valid_cro_loss : 0.0000, valid_tot_loss : 0.0081, 
epoch  96 summary: train_cos_loss : 0.008560, train_cro_loss : 2.2891, train_tot_loss : 0.0086, valid_cos_loss : 0.0079, valid_cro_loss : 0.0000, valid_tot_loss : 0.0079, 
epoch  97 summary: train_cos_loss : 0.008191, train_cro_loss : 2.2644, train_tot_loss : 0.0083, valid_cos_loss : 0.0083, valid_cro_loss : 0.0000, valid_tot_loss : 0.0083, 
epoch  98 summary: train_cos_loss : 0.008621, train_cro_loss : 2.2464, train_tot_loss : 0.0087, valid_cos_loss : 0.0087, valid_cro_loss : 0.0000, valid_tot_loss : 0.0087, 
epoch  99 summary: train_cos_loss : 0.008924, train_cro_loss : 2.2442, train_tot_loss : 0.0090, valid_cos_loss : 0.0086, valid_cro_loss : 0.0000, valid_tot_loss : 0.0086, 
epoch 100 summary: train_cos_loss : 0.008029, train_cro_loss : 2.2350, train_tot_loss : 0.0081, valid_cos_loss : 0.0076, valid_cro_loss : 0.0000, valid_tot_loss : 0.0076, 
train loss: 2.6042, accuracy: 0.4011, valid loss: 2.6111, accuracy: 0.3003, 
epoch 101 summary: train_cos_loss : 0.007679, train_cro_loss : 2.2542, train_tot_loss : 0.0078, valid_cos_loss : 0.0083, valid_cro_loss : 0.0000, valid_tot_loss : 0.0083, 
epoch 102 summary: train_cos_loss : 0.007974, train_cro_loss : 2.2495, train_tot_loss : 0.0081, valid_cos_loss : 0.0091, valid_cro_loss : 0.0000, valid_tot_loss : 0.0091, 
epoch 103 summary: train_cos_loss : 0.007525, train_cro_loss : 2.2350, train_tot_loss : 0.0076, valid_cos_loss : 0.0076, valid_cro_loss : 0.0000, valid_tot_loss : 0.0076, 
epoch 104 summary: train_cos_loss : 0.007514, train_cro_loss : 2.2295, train_tot_loss : 0.0076, valid_cos_loss : 0.0087, valid_cro_loss : 0.0000, valid_tot_loss : 0.0087, 
epoch 105 summary: train_cos_loss : 0.007906, train_cro_loss : 2.2052, train_tot_loss : 0.0080, valid_cos_loss : 0.0072, valid_cro_loss : 0.0000, valid_tot_loss : 0.0072, 
epoch 106 summary: train_cos_loss : 0.007619, train_cro_loss : 2.1925, train_tot_loss : 0.0077, valid_cos_loss : 0.0081, valid_cro_loss : 0.0000, valid_tot_loss : 0.0081, 
epoch 107 summary: train_cos_loss : 0.007429, train_cro_loss : 2.1826, train_tot_loss : 0.0075, valid_cos_loss : 0.0077, valid_cro_loss : 0.0000, valid_tot_loss : 0.0077, 
epoch 108 summary: train_cos_loss : 0.007442, train_cro_loss : 2.2067, train_tot_loss : 0.0075, valid_cos_loss : 0.0072, valid_cro_loss : 0.0000, valid_tot_loss : 0.0072, 
epoch 109 summary: train_cos_loss : 0.007605, train_cro_loss : 2.1901, train_tot_loss : 0.0077, valid_cos_loss : 0.0073, valid_cro_loss : 0.0000, valid_tot_loss : 0.0073, 
epoch 110 summary: train_cos_loss : 0.007653, train_cro_loss : 2.1889, train_tot_loss : 0.0077, valid_cos_loss : 0.0069, valid_cro_loss : 0.0000, valid_tot_loss : 0.0069, 
train loss: 2.5432, accuracy: 0.3885, valid loss: 2.5421, accuracy: 0.2891, 
epoch 111 summary: train_cos_loss : 0.007277, train_cro_loss : 2.1923, train_tot_loss : 0.0074, valid_cos_loss : 0.0075, valid_cro_loss : 0.0000, valid_tot_loss : 0.0075, 
epoch 112 summary: train_cos_loss : 0.007043, train_cro_loss : 2.1768, train_tot_loss : 0.0071, valid_cos_loss : 0.0066, valid_cro_loss : 0.0000, valid_tot_loss : 0.0066, 
epoch 113 summary: train_cos_loss : 0.007194, train_cro_loss : 2.1803, train_tot_loss : 0.0073, valid_cos_loss : 0.0073, valid_cro_loss : 0.0000, valid_tot_loss : 0.0073, 
epoch 114 summary: train_cos_loss : 0.006819, train_cro_loss : 2.1692, train_tot_loss : 0.0069, valid_cos_loss : 0.0063, valid_cro_loss : 0.0000, valid_tot_loss : 0.0063, 
epoch 115 summary: train_cos_loss : 0.007146, train_cro_loss : 2.1684, train_tot_loss : 0.0072, valid_cos_loss : 0.0066, valid_cro_loss : 0.0000, valid_tot_loss : 0.0066, 
epoch 116 summary: train_cos_loss : 0.006911, train_cro_loss : 2.1498, train_tot_loss : 0.0070, valid_cos_loss : 0.0069, valid_cro_loss : 0.0000, valid_tot_loss : 0.0069, 
epoch 117 summary: train_cos_loss : 0.006870, train_cro_loss : 2.1495, train_tot_loss : 0.0069, valid_cos_loss : 0.0063, valid_cro_loss : 0.0000, valid_tot_loss : 0.0063, 
epoch 118 summary: train_cos_loss : 0.006466, train_cro_loss : 2.1460, train_tot_loss : 0.0065, valid_cos_loss : 0.0069, valid_cro_loss : 0.0000, valid_tot_loss : 0.0069, 
epoch 119 summary: train_cos_loss : 0.006932, train_cro_loss : 2.1337, train_tot_loss : 0.0070, valid_cos_loss : 0.0071, valid_cro_loss : 0.0000, valid_tot_loss : 0.0071, 
epoch 120 summary: train_cos_loss : 0.006433, train_cro_loss : 2.1256, train_tot_loss : 0.0065, valid_cos_loss : 0.0069, valid_cro_loss : 0.0000, valid_tot_loss : 0.0069, 
train loss: 2.4806, accuracy: 0.4242, valid loss: 2.4928, accuracy: 0.3110, 
epoch 121 summary: train_cos_loss : 0.006644, train_cro_loss : 2.1306, train_tot_loss : 0.0067, valid_cos_loss : 0.0062, valid_cro_loss : 0.0000, valid_tot_loss : 0.0062, 
epoch 122 summary: train_cos_loss : 0.006828, train_cro_loss : 2.1400, train_tot_loss : 0.0069, valid_cos_loss : 0.0066, valid_cro_loss : 0.0000, valid_tot_loss : 0.0066, 
epoch 123 summary: train_cos_loss : 0.006372, train_cro_loss : 2.1622, train_tot_loss : 0.0064, valid_cos_loss : 0.0063, valid_cro_loss : 0.0000, valid_tot_loss : 0.0063, 
epoch 124 summary: train_cos_loss : 0.006385, train_cro_loss : 2.1425, train_tot_loss : 0.0065, valid_cos_loss : 0.0064, valid_cro_loss : 0.0000, valid_tot_loss : 0.0064, 
epoch 125 summary: train_cos_loss : 0.006182, train_cro_loss : 2.1124, train_tot_loss : 0.0063, valid_cos_loss : 0.0063, valid_cro_loss : 0.0000, valid_tot_loss : 0.0063, 
epoch 126 summary: train_cos_loss : 0.006127, train_cro_loss : 2.1077, train_tot_loss : 0.0062, valid_cos_loss : 0.0065, valid_cro_loss : 0.0000, valid_tot_loss : 0.0065, 
epoch 127 summary: train_cos_loss : 0.006535, train_cro_loss : 2.0997, train_tot_loss : 0.0066, valid_cos_loss : 0.0061, valid_cro_loss : 0.0000, valid_tot_loss : 0.0061, 
epoch 128 summary: train_cos_loss : 0.005721, train_cro_loss : 2.1089, train_tot_loss : 0.0058, valid_cos_loss : 0.0060, valid_cro_loss : 0.0000, valid_tot_loss : 0.0060, 
epoch 129 summary: train_cos_loss : 0.006053, train_cro_loss : 2.0926, train_tot_loss : 0.0061, valid_cos_loss : 0.0060, valid_cro_loss : 0.0000, valid_tot_loss : 0.0060, 
epoch 130 summary: train_cos_loss : 0.006232, train_cro_loss : 2.0895, train_tot_loss : 0.0063, valid_cos_loss : 0.0060, valid_cro_loss : 0.0000, valid_tot_loss : 0.0060, 
train loss: 2.4278, accuracy: 0.4381, valid loss: 2.4462, accuracy: 0.3247, 
epoch 131 summary: train_cos_loss : 0.005998, train_cro_loss : 2.0795, train_tot_loss : 0.0061, valid_cos_loss : 0.0059, valid_cro_loss : 0.0000, valid_tot_loss : 0.0059, 
epoch 132 summary: train_cos_loss : 0.006243, train_cro_loss : 2.0761, train_tot_loss : 0.0063, valid_cos_loss : 0.0059, valid_cro_loss : 0.0000, valid_tot_loss : 0.0059, 
